Simplified	Pinyin	english
请柬	qǐngjiǎn	invitation card; written invitation
请教	qǐngjiào	consult; seek advice
请示	qǐngshì	ask for instructions
请帖	qǐngtiě	invitation card; written invitation
丘陵	qiūlíng	hills
区分	qūfēn	differentiate; find differing aspects; find the difference between
区域	qūyù	area; region; district
曲折	qūzhé	winding; zigzag; complicated
驱逐	qūzhú	banishment; expel; deport
屈服	qūfú	yield; give in; submit
渠道	qúdào	irrigation ditch; medium or channel of communication
曲子	qǔzi	folk tune; music; melody
取缔	qǔdì	to ban; suppress
趣味	qùwèi	fun; interest; delight; taste
圈套	quāntào	trap
权衡	quánhéng	trade-off; weigh pros and cons
权威	quánwēi	authority; authoritative
全局	quánjú	overall situation
全力以赴	quán lì yǐ fù	do at all costs; make an all-out effort
拳头	quántou	fist
犬	quǎn	dog (Kangxi radical 94)
缺口	quēkǒu	gap; breach; shortfall
缺席	quē xí	absence; absent; default
缺陷	quēxiàn	a defect; a flaw; disfigurement
瘸	qué	lame
确保	quèbǎo	ensure; guarantee
确立	quèlì	to establish; to institute
确切	quèqiè	definite; exact; precise
确信	quèxìn	confident; be certain of; to firmly believe
群众	qúnzhòng	the masses; multitude
染	rǎn	dye; to catch (a disease)
嚷	rǎng	blurt out; shout
让步	ràng bù	give in; concede; yield
饶恕	ráoshù	forgive; pardon; spare
扰乱	rǎoluàn	disturb; perturb; harass
惹祸	rěhuò	stir up troubles
热泪盈眶	rè lèi yíng kuàng	(saying) eyes brimming with tears; extremely moved
热门	rèmén	in demand; popular; in vogue
人道	réndào	humanitarianism; humane
人格	réngé	personality; moral integrity; character
人工	réngōng	man-made; manpower; manual work
人家	rénjiā	other people; others; they; I; family; household
人间	rénjiān	man's world; the world
人士	rénshì	person; public figure
人为	rénwéi	artificial; man-made
人性	rénxìng	human nature; humanity
人质	rénzhì	hostage
仁慈	réncí	benevolent; kindhearted; charitable
忍耐	rěnnài	show restraint; endure; exercise patience
忍受	rěnshòu	to bear; endure; tolerate
认定	rèndìng	maintain (that sth. is true); firmly believe
认可	rènkě	approve; accept; ratify
任命	rènmìng	appoint and nominate
任性	rènxìng	willful; headstrong
任意	rènyì	arbitrarily; at will; at random
任重道远	rènzhòngdàoyuǎn	lit. a heavy load and a long road; fig. to bear heavy responsibilities through a long struggle; shoulder heavy responsibilities
仍旧	réngjiù	still (remaining); remain (the same); yet
日新月异	rìxīnyuèyì	change with each passing day
日益	rìyì	day by day; more and more; increasingly
荣幸	róngxìng	honored
荣誉	róngyù	honor; glory
容貌	róngmào	facial features; looks; appearance
容纳	róngnà	contain; accommodate; tolerate (different options)
容器	róngqì	container; receptacle; vessel
容忍	róngrěn	put up with; tolerate; condone
溶解	róngjiě	dissolve; solution
融化	rónghuà	melt; thaw; dissolve; blend into
融洽	róngqià	harmonious; friendly relations
柔和	róuhé	gentle; soft; mild
揉	róu	knead; to massage; to rub
儒家	rújiā	Confucianism
若干	ruògān	a certain number or amount; how many; how much
弱点	ruòdiǎn	weak point; failing
撒谎	sā huǎng	to tell lies
散文	sǎnwén	prose; essay
散布	sànbù	to scatter; disseminate; to spread
散发	sànfā	distribute; emit
丧失	sàngshī	to lose; to forfeit
骚扰	sāorǎo	harass; disturb; molest; cause a commotion
嫂子	sǎozi	(informal) elder brother's wife; sister-in-law
刹车	shā chē	brake (when driving); stop; switch off
啥	shá	(spoken) what
筛选	shāixuǎn	to filter; to sift
山脉	shānmài	mountain range
闪烁	shǎnshuò	to twinkle; to flicker; glimmer
擅长	shàncháng	be good at; be expert in
擅自	shànzì	unauthorized
伤脑筋	shāng nǎojīn	troublesome; bothersome
商标	shāngbiāo	trademark; logo
上级	shàngjí	higher authorities; superiors
上进	shàngjìn	make forward progress; do better
上任	shàng rèn	take office
上瘾	shàngyǐn	become addicted; get into a habit
上游	shàngyóu	upper reaches (of a river); advanced position
尚且	shàngqiě	yet; still; even; also
捎	shāo	bring or take (along); deliver (a message)
梢	shāo	tip of a branch
哨	shào	a whistle; sentry post
奢侈	shēchǐ	luxury; sumptuous; extravagant
舌头	shétou	tongue
设立	shèlì	set up; establish
设想	shèxiǎng	imagine; consider; tentative plan
设置	shèzhì	set up; install; to fit
社区	shèqū	community
涉及	shèjí	involve; relate to; to touch upon (a topic)
摄氏度	shèshìdù	degrees Celsius
申报	shēnbào	declare; report (to customs or other authority)
呻吟	shēnyín	to moan; to groan
绅士	shēnshì	gentleman
深奥	shēn'ào	profound; deep
深沉	shēnchén	deep; extreme; low pitched (sound); grave; of major importance
深情厚谊	shēnqínghòuyì	profound friendship
神经	shénjīng	nerve
神奇	shénqí	miraculous; magical; mystical
神气	shénqì	expression; manner; spirited
神圣	shénshèng	divine; holy; sacred
神态	shéntài	appearance; looks; manner; expression
神仙	shénxiān	fig. lighthearted person; Daoist immortal; supernatural entity; (in modern fiction) fairy, elf, leprechaun, etc.; supernatural being, celestial being, immortal; a person who has the power of clairvoyance or who is free from worldly cares
审查	shěnchá	examine; investigate; censorship
审理	shěnlǐ	hear (a case)
审美	shěnměi	aesthetic sense; appreciation of the arts
审判	shěnpàn	put (someone) to trial; to try somebody
渗透	shèntòu	infiltrate; permeate
慎重	shènzhòng	cautious; careful; prudent
生存	shēngcún	exist; survive
生机	shēngjī	reprieve from death; life force; vitality
生理	shēnglǐ	physiology
生疏	shēngshū	unfamiliar; strange; out of practice
生态	shēngtài	way of life; ecology
生物	shēngwù	organism; living creature; life form
生肖	shēngxiào	Chinese zodiac
生效	shēng xiào	take effect; become effective
生锈	shēngxiù	to rust
生育	shēngyù	give birth; to rear; bring up (children)
声明	shēngmíng	statement; declare; proclaim
声势	shēngshì	momentum; fame and power; prestige
声誉	shēngyù	reputation; fame
牲畜	shēngchù	livestock; domesticated animals
省会	shěnghuì	provincial capital
胜负	shèngfù	victory or defeat; the outcome of a battle
盛产	shèngchǎn	abound in; teem with; superabundant
盛开	shèngkāi	to bloom; be in full flower
盛情	shèngqíng	great kindness; boundless hospitality
盛行	shèngxíng	in fashion; prevalent; prevail
尸体	shītǐ	dead body; corpse; carcass
失事	shī shì	be involved in a crash; (have an) accident
失误	shīwù	mistake; lapse; miss
失踪	shī zōng	be missing; be unaccounted for
师范	shīfàn	teacher-training; pedagogical; normal (school)
施加	shījiā	exert (effort or pressure)
施展	shīzhǎn	use fully; put to good use
十足	shízú	full of; complete; 100 percent
石油	shíyóu	oil; petroleum
时常	shícháng	time and again; often; frequently
时而	shí'ér	occasionally; often, but not at any fixed time
时光	shíguāng	time; era; period of time
时机	shíjī	opportune time; opportunity
时事	shíshì	current events; the present situation
识别	shíbié	identify; distinguish; discern
实惠	shíhuì	substantial material benefit; advantageous (deal)
实力	shílì	strength
实施	shíshī	to implement; put into effect; carry out
实事求是	shí shì qiú shì	be practical and realistic; seek truth from facts
实行	shíxíng	to implement; put into practice; carry out
实质	shízhì	substance; essence; gist
拾	shí	pick up; ten (banker's anti-fraud numeral)
使命	shǐmìng	a (diplomatic or other) mission
示范	shìfàn	demonstrate; lead the way; show how something is done
示威	shìwēi	hold a protest demonstration
示意	shìyì	to signal; to hint; to gesture; to motion; to indicate (an idea to sb)
世代	shìdài	for generations; generation to generation
势必	shìbì	is bound to (happen)
势力	shìli	power; influence
事故	shìgù	accident
事迹	shìjì	achievement; deed
事件	shìjiàn	event; happening; incident
事态	shìtài	situation; existing state of affairs
事务	shìwù	affairs; work
事项	shìxiàng	matter; item
事业	shìyè	undertaking; project; cause; enterprise
试图	shìtú	to try; to attempt
试验	shìyàn	experiment; test
视力	shìlì	vision; eyesight
视频	shìpín	video
视线	shìxiàn	line of sight; view line
视野	shìyě	field of vision
是非	shìfēi	right and wrong; truth and fiction; quarrel
适宜	shìyí	suitable for; appropriate for
逝世	shìshì	pass away; to die
释放	shìfàng	release; set free; liberate (a prisoner)
收藏	shōucáng	collect; keep
收缩	shōusuō	pull back; shrink
收益	shōuyì	earnings; profit
收音机	shōuyīnjī	radio
手法	shǒufǎ	technique; trick; skill; tact
手势	shǒushì	gesture; sign; signal
手艺	shǒuyì	craft; workmanship; one's cooking
守护	shǒuhù	guard; defend; protect
首饰	shǒushì	jewelry
首要	shǒuyào	the most important; chief; principal
受罪	shòuzuì	endure hardships; have a hard time
授予	shòuyǔ	to award; confer
书法	shūfǎ	calligraphy; penmanship
书籍	shūjí	books; works
书记	shūji	secretary; clerk
书面	shūmiàn	in writing; written (guarantee, etc.)
舒畅	shūchàng	happy; entirely free from worry
疏忽	shūhu	neglect; overlook; negligence
疏远	shūyuǎn	drift apart; keep at a distance; not in close touch; estranged
束	shù	to tie; to bind; restrain; (mw for bunches, bundles, bouquets, etc.)
束缚	shùfù	to bind; restrict; to tie
树立	shùlì	set up; establish
竖	shù	vertical; to erect; vertical stroke
数额	shù'é	amount; sum of money; fixed number
耍	shuǎ	play/mess around with; juggle
衰老	shuāilǎo	grow old; age; deteriorate
衰退	shuāituì	decline; fall; drop; falter
率领	shuàilǐng	lead; command; head
涮火锅	shuànhuǒguō	to instant-boil (mutton, beef, vegetables, etc.)
双胞胎	shuāngbāotāi	twins
爽快	shuǎngkuài	refreshed; rejuvenated; frank
水利	shuǐlì	water conservancy; irrigation works
水龙头	shuǐlóngtóu	faucet; tap
水泥	shuǐní	cement
瞬间	shùnjiān	in the twinkling of an eye; in an instant; momentary
司法	sīfǎ	judicial; (administration of) justice
司令	sīlìng	commanding officer
私自	sīzì	private; secretly; without permission
思念	sīniàn	think of; long for; to miss
思索	sīsuǒ	think deeply; ponder
思维	sīwéi	(line) of thought; thinking
斯文	sīwen	refined; educated; cultured; intellectual; men of letters; scholars; literati; polite; gentle
死亡	sǐwáng	to die; death; be dead
四肢	sìzhī	arms and legs; the four limbs of the body
寺庙	sìmiào	temple; monastery
饲养	sìyǎng	to raise; to rear (domestic animal)
肆无忌惮	sìwújìdàn	absolutely unrestrained; unbridled; without the slightest scruple
耸	sǒng	shrug; towering; shock (alarm)
艘	sōu	(mw for boats and ships)
苏醒	sūxǐng	wake up; regain consciousness
俗话	súhuà	common saying; proverb
诉讼	sùsòng	lawsuit
素食	sùshí	vegetables; vegetarian food
素质	sùzhì	inner quality; basic essence; character quality
塑造	sùzào	to shape; mould; figure
算数	suànshù	(do) arithmetic; count
随即	suíjí	immediately (after); soon after; immediately
随意	suíyì	as one wishes; according to one's wishes
岁月	suìyuè	the years of a person's life
隧道	suìdào	tunnel
损坏	sǔnhuài	to damage; injure
索取	suǒqǔ	demand; ask for; to exact
索性	suǒxìng	you might as well (do it); simply; just; frankly; bluntly; directly
塌	tā	collapse; fall down; crumple
踏实	tāshi	practical; down-to-earth; realistic; feel at ease; steadfast
塔	tǎ	pagoda; tower
台风	táifēng	typhoon
太空	tàikōng	outer space
泰斗	tàidǒu	leading scholar of his time; magnate
贪婪	tānlán	greedy; avaricious
贪污	tānwū	(political, moral) corruption; embezzle
摊	tān	to spread out; vendor's stand; booth; fry; (mw for puddles)
瘫痪	tānhuàn	paralysis
弹性	tánxìng	flexibility; elasticity
坦白	tǎnbái	honest; forthcoming; to confess
叹气	tàn qì	to sigh
探测	tàncè	probe; take readings; detect; explore
探索	tànsuǒ	explore; quest
探讨	tàntǎo	inquire into; explore
探望	tànwàng	pay a visit; look around
倘若	tǎngruò	provided that; supposing that; if; in case
掏	tāo	fish out (from pocket)
滔滔不绝	tāotāo bù jué	(saying) talking non-stop; gushing; torrential
陶瓷	táocí	ceramics; pottery and porcelain
陶醉	táozuì	be intoxicated (with power, success, etc.)
淘汰	táotài	eliminate (in a competition); natural selection; die/phase out
讨好	tǎohǎo	to flatter
特长	tècháng	strong point; specialty
特定	tèdìng	special; specific; designated
特意	tèyì	specially for; with the special intention of
提拔	tíbá	promote to a higher job; elevate
提炼	tíliàn	extract (ore, minerals, etc.); refine; purify
提示	tíshì	to prompt; to present; to point out; to draw attention to sth; hint; brief; cue
提议	tíyì	propose; suggest
题材	tícái	subject matter
体裁	tǐcái	types or forms of literature
体积	tǐjī	volume; bulk
体谅	tǐliàng	empathize; express sympathy; allow (for something)
体面	tǐmiàn	dignity; honorable; face
体系	tǐxì	system; setup
天才	tiāncái	talent; gift; a genius; talented
天赋	tiānfù	natural talent
天伦之乐	tiānlúnzhīlè	family happiness
天然气	tiānránqì	natural gas
天生	tiānshēng	innate; inherent; natural
天堂	tiāntáng	paradise; heaven
天文	tiānwén	astronomy
田径	tiánjìng	track and field
田野	tiányě	field; open country
舔	tiǎn	to lick
挑剔	tiāoti	picky; fastidious
条款	tiáokuǎn	clause (of contract or law)
条理	tiáolǐ	consecutive; arrangement; orderliness
条约	tiáoyuē	treaty; pact
调和	tiáohé	harmonious; harmony
调剂	tiáojì	make an adjustment
调节	tiáojié	adjust; regulate; reconcile
调解	tiáojiě	mediation; bring together to an agreement
调料	tiáoliào	seasoning; flavoring
挑拨	tiǎobō	incite disharmony; provoke; stir up tension in others
挑衅	tiǎoxìn	provoke; defiance
跳跃	tiàoyuè	jump; leap; bound; skip
亭子	tíngzi	pavilion; kiosk
停泊	tíngbó	anchor; mooring (of a ship)
停顿	tíngdùn	pause; halt
停滞	tíngzhì	stagnation; be at a standstill; bogged down
挺拔	tǐngbá	tall and straight
通货膨胀	tōnghuò péngzhàng	inflation
通缉	tōngjī	order the arrest of a criminal
通俗	tōngsú	popular; common; everyday; average; vulgar
通讯	tōngxùn	communication; correspondence; news dispatch
通用	tōngyòng	in common use; interchangeable; General Motors
同胞	tóngbāo	compatriot; fellow countryman
同志	tóngzhì	comrade; gay (slang)
铜	tóng	copper
童话	tónghuà	fairy tale
统筹兼顾	tǒngchóujiāngù	take every aspects into consideration through plan and preparation
统计	tǒngjì	statistics; to tally; to add up
统统	tǒngtǒng	totally; completely
统治	tǒngzhì	to rule (a country); govern; governance
投机	tóujī	speculate (on financial markets); congenial; opportunistic
投票	tóupiào	vote; poll
投诉	tóusù	make a complaint; appeal to a court
投降	tóuxiáng	to surrender
投掷	tóuzhì	throw something a long distance; hurl
透露	tòulù	divulge; to reveal; leak out
秃	tū	bald; blunt
突破	tūpò	break through; breakthrough
图案	tú'àn	design; pattern
徒弟	túdì	disciple
途径	tújìng	way; channel
涂抹	túmǒ	scribble; smear; doodle
土壤	tǔrǎng	soil; earth
团结	tuánjié	unite; hold a rally; join forces
团体	tuántǐ	group; organization; team
团圆	tuányuán	have a reunion; reunite as a family
推测	tuīcè	speculate; conjecture; surmise
推翻	tuīfān	overthrow; topple
推理	tuīlǐ	reasoning; speculative; inference
推论	tuīlùn	infer; a deduction; a corollary
推销	tuīxiāo	to market; sell
吞吞吐吐	tūntūntǔtǔ	hum and haw (idiom); mumble as if hiding something; speak and break off, then start again; to hold something back
托运	tuōyùn	check in (baggage); consign for shipment
拖延	tuōyán	prolong; protraction; delay; stall; procrastinate
脱离	tuōlí	to separate oneself from; to break away from; be divorced from; diastasis (medicine); abscission; abjunction (botany)
妥当	tuǒdang	appropriate; proper; pertinence
妥善	tuǒshàn	appropriate; proper; well-arranged
妥协	tuǒxié	to compromise; reach terms
椭圆	tuǒyuán	ellipse; oval
唾弃	tuòqì	cast aside; spurn
挖掘	wājué	excavate; dig; unearth
哇	wa	wow; (sound of crying or surprise)
娃娃	wáwa	baby; child; doll
瓦解	wǎjiě	collapse; disintegrate; crumble
歪曲	wāiqū	to distort; to misrepresent; to twist; crooked; askew; aslant
外表	wàibiǎo	outward appearance; external; outside
外行	wàiháng	layman; amateur; nonprofessional
外界	wàijiè	the outside world; external
外向	wàixiàng	extroverted; export-oriented (economy)
丸	wán	pill; pellet
完备	wánbèi	complete; perfect
完毕	wánbì	finish; end; complete
玩弄	wánnòng	resort to; play with; engage in
玩意儿	wányìr	thing; toy; gadget
顽固	wángù	stubborn; obstinate
顽强	wánqiáng	tenacious; hard to defeat
挽回	wǎnhuí	reverse or salvage (a situation); redeem; retrieve
挽救	wǎnjiù	to rescue; retrieve; to remedy
惋惜	wǎnxī	feel sorry for a person; sympathize; to regret
万分	wànfēn	very much; extremely
往常	wǎngcháng	habitually in the past; as one used to do; as it used to be
往事	wǎngshì	the past events; former happenings
妄想	wàngxiǎng	vainly hope; wishful thinking; delusion
危机	wēijī	crisis
威风	wēifēng	awe-inspiring authority; power and prestige; impressive force
威力	wēilì	might; power that invokes fear
威望	wēiwàng	prestige
威信	wēixìn	prestige; reputation; veneration; authority; trust
微不足道	wēi bù zú dào	negligible; insignificant; not worth mentioning
微观	wēiguān	microscopic; sub atomic
为难	wéinán	make things difficult for someone; embarrassed
为期	wéiqī	be scheduled for; last for (a certain duration)
违背	wéibèi	violate; go against
唯独	wéidú	only; just (i.e. it is only that ...); alone
维持	wéichí	maintain; preserve
维护	wéihù	defend; to safeguard; defense; maintain
维生素	wéishēngsù	vitamin
伪造	wěizào	forge; to fake; to counterfeit
委托	wěituō	to entrust; to trust; to ensign; to commission
委员	wěiyuán	committee member; committee; council
卫星	wèixīng	satellite
未免	wèimiǎn	(of something that one finds has gone too far); rather a bit too
畏惧	wèijù	to fear; foreboding
喂	wèi, wéi	hey; to feed | hello (on the phone)
蔚蓝	wèilán	azure; sky blue
慰问	wèiwèn	to express sympathy; consolation; extend regards to; salute
温带	wēndài	temperate zone
温和	wēnhé	moderate; warm; (-huo: lukewarm)
文凭	wénpíng	diploma
文物	wénwù	cultural relic; historical relic
文献	wénxiàn	document; literature
文雅	wényǎ	elegant; refined
文艺	wényì	literature and art
问世	wènshì	be published; to come out
窝	wō	nest; den
乌黑	wūhēi	jet-black; pitch-black
污蔑	wūmiè	to slander
诬陷	wūxiàn	entrap; to frame; plant false evidence against sb.
无比	wúbǐ	matchless; incomparable
无偿	wúcháng	free; no charge; at no cost
无耻	wúchǐ	without any sense of shame; shameless; audaciousness
无动于衷	wúdòngyúzhōng	aloof; indifferent; unconcerned; untouched
无非	wúfēi	nothing but; only
无辜	wúgū	innocent
无精打采	wújīngdǎcǎi	listless; be dispirited; in low spirits
无赖	wúlài	hoodlum; rascal; rogue; rascally; scoundrelly
无理取闹	wúlǐqǔnào	to make trouble without reason (idiom); wilfully make trouble; to be deliberately provocative; deliberately awkward; pointless provocation
无能为力	wú néng wéi lì	incapable of action; powerless; impotent
无穷无尽	wúqióngwújìn	vast and limitless; endless span of time; no vestige of a beginning, no prospect of an end
无微不至	wú wēi bú zhì	in every possible way; meticulously
无忧无虑	wúyōuwúlǜ	carefree and without worries
无知	wúzhī	ignorance
武器	wǔqì	weapon; arms
武侠	wǔxiá	knight-errant; a genre of swordplay martial arts movies and books
武装	wǔzhuāng	arms; equipment; to arm
侮辱	wǔrǔ	to insult; humiliate
舞蹈	wǔdǎo	a dance
务必	wùbì	must; need to; be sure to
物美价廉	wùměijiàlián	attractive goods at inexpensive prices
物业	wùyè	property management
物资	wùzī	goods and materials; commodity
误差	wùchā	difference; error; inaccuracy
误解	wùjiě	misunderstand; misread
夕阳	xīyáng	setting sun
昔日	xīrì	formerly; in olden days
牺牲	xīshēng	sacrifice (one's life, etc.)
溪	xī	creek
熄灭	xīmiè	extinguish; go out (of fire); die out; extinction
膝盖	xīgài	knee
习俗	xísú	custom; tradition; (local) convention
袭击	xíjī	surprise attack; to raid
媳妇	xífù	daughter-in-law; son's wife
喜闻乐见	xǐwénlèjiàn	a delight to see (idiom); an attractive spectacle
喜悦	xǐyuè	happy; joyous
系列	xìliè	series
细胞	xìbāo	cell (biology)
细菌	xìjūn	bacteria; virus; germ
细致	xìzhì	delicate; meticulous
峡谷	xiágǔ	canyon; ravine; gorge
狭隘	xiá'ài	narrow; tight; narrow (minded); lacking in experience
狭窄	xiázhǎi	narrow
霞	xiá	red clouds
下属	xiàshǔ	subordinate; underling
先进	xiānjìn	advanced (technology); to advance
先前	xiānqián	before; previously
纤维	xiānwéi	fiber
掀起	xiānqǐ	lift; raise in height
鲜明	xiānmíng	bright; clear-cut; distinct
闲话	xiánhuà	gossip; digression
贤惠	xiánhuì	virtuous and dutiful (of women)
弦	xián	bow string; string of musical instruments
衔接	xiánjiē	to join together; to combine
嫌	xián	to dislike; suspicion; grudge
嫌疑	xiányí	suspicion; (be) suspected (of)
显著	xiǎnzhù	notable; marked; outstanding; remarkable
现场	xiànchǎng	scene (of event or incident); on the spot
现成	xiànchéng	ready-made; off-the-shelf
现状	xiànzhuàng	current situation; status quo
线索	xiànsuǒ	trail; clues; hints; thread (of a story)
宪法	xiànfǎ	constitution; charter
陷害	xiànhài	cast blame on; to frame
陷阱	xiànjǐng	trap; snare
陷入	xiànrù	sink into; get caught up in; land in (a predicament)
馅儿	xiànr	stuffing; filling
乡镇	xiāngzhèn	village and town
相差	xiāngchà	differ; difference
相等	xiāngděng	be equal to; equally; equivalent
相辅相成	xiāngfǔxiāngchéng	supplement and complement each other
相应	xiāngyìng	correspond; relevant
镶嵌	xiāngqiàn	inlay
响亮	xiǎngliàng	loud and clear; resounding
响应	xiǎngyìng	respond to; answer
想方设法	xiǎng fāng shè fǎ	(saying) think of or try every possible method; by all means possible
向导	xiàngdǎo	guide
向来	xiànglái	always; all along
向往	xiàngwǎng	yearn for; look forward to
巷	xiàng	lane; alley
相声	xiàngsheng	comic dialogue; crosstalk
削	xuē	to pare/peel with a knife; to cut; to chop
消除	xiāochú	eliminate; remove; clear up (abstract things）
消毒	xiāo dú	disinfect; sterilize
消防	xiāofáng	fire-fighting; fire prevention and control
消耗	xiāohào	use up; consume
消灭	xiāomiè	eliminate; perish; wipe out
销毁	xiāohuǐ	destroy (by melting or burning)
潇洒	xiāosǎ	free and easy
小心翼翼	xiǎoxīn yìyì	carefully; cautiously; with great care
肖像	xiàoxiàng	portrait
效益	xiàoyì	benefit；results
协会	xiéhuì	an association; a society
协商	xiéshāng	consult with; talk things over
协调	xiétiáo	coordinate; harmonize
协议	xiéyì	agreement; pact; protocol
协助	xiézhù	assist; to help
携带	xiédài	take with; portable
泄露	xièlòu	leak (information); divulge
泄气	xièqì	despair; feel like giving up/disappointing; pathetic
屑	xiè	crumbs; filings; worth while
谢绝	xièjué	politely refuse
心得	xīndé	knowledge gained
心甘情愿	xīngānqíngyuàn	totally willing; perfectly happy to
心灵	xīnlíng	heart; soul; smart; quick-witted
心态	xīntài	pyschology; mentality; spirit
心疼	xīnténg	love dearly; the pain of love
心血	xīnxuè	heart and blood; painstaking effort; meticulous care
心眼儿	xīnyǎnr	one's thoughts; mind; intention; willingness to accept new ideas
辛勤	xīnqín	hardworking; diligent; industrious
欣慰	xīnwèi	be gratified; satisfied
欣欣向荣	xīnxīn xiàng róng	flourishing; thriving; prosperous
新陈代谢	xīn chén dàixiè	metabolism (bio); (saying) the new replaces the old
新郎	xīnláng	bridegroom; groom
新娘	xīnniáng	bride
新颖	xīnyǐng	new and original; novel
薪水	xīnshuǐ	salary; wage; pay; stipend
信赖	xìnlài	trust; have confidence in; confide
信念	xìnniàn	faith; belief; conviction
信仰	xìnyǎng	firm belief; faith; believe in (a religion)
信誉	xìnyù	reputation; prestige; trust
兴隆	xīnglóng	prosperous; flourishing
兴旺	xīngwàng	prosperous; thriving; to prosper
腥	xīng	fishy (smell)
刑事	xíngshì	criminal; penal
行政	xíngzhèng	administration; administrative
形态	xíngtài	shape; form; pattern
兴高采烈	xìng gāo cǎi liè	in high spirits
兴致勃勃	xìngzhìbóbó	in high spirits
性感	xìnggǎn	sex appeal; sexy; sexuality
性命	xìngmìng	life
性能	xìngnéng	function; performance
凶恶	xiōng'è	fierce; ferocious; menacing
凶手	xiōngshǒu	murderer; assassin; assailant
汹涌	xiōngyǒng	(used in reference to an ocean, river, lake etc.) violently surge up; turbulent
胸怀	xiōnghuái	think about; heart; one's bosom (the seat of emotions); breast; broad-minded and open
胸膛	xiōngtáng	chest
雄厚	xiónghòu	abundant; strong and solid; rich
雄伟	xióngwěi	grand; majestic
修复	xiūfù	restoration; repair
修建	xiūjiàn	to build; to construct; renovate
修养	xiūyǎng	accomplishment; self-cultivation
羞耻	xiūchǐ	(a feeling of) shame
绣	xiù	embroider; embroidery
嗅觉	xiùjué	sense of smell; scent
须知	xūzhī	prerequisites; knowledge requirement
虚假	xūjiǎ	false; phony; pretense; deceit
虚荣	xūróng	vanity
虚伪	xūwěi	false; hypocritical; artificial; sham
需求	xūqiú	requirement; demand (economics)
许可	xǔkě	allow; permit; permission
序言	xùyán	preface of a book, used to explain the book's objective
畜牧	xùmù	raise animals
酗酒	xùjiǔ	heavy drinking; drink to excess; binge drink
宣誓	xuān shì	swear an oath (of office); make a vow
宣扬	xuānyáng	publicize; make public or well known
喧哗	xuānhuá	cause a scene
悬挂	xuánguà	suspend; hang; suspension (cable car)
悬念	xuánniàn	reader's involvement; suspense in a movie, place etc
悬殊	xuánshū	a wide gap; big contrast; large disparity; a mismatch
悬崖峭壁	xuányáqiàobì	cliffside
旋律	xuánlǜ	melody; tune; rhythm
旋转	xuánzhuǎn	to whirl; to spin; rotate
选拔	xuǎnbá	select the best; choose
选举	xuǎnjǔ	elect; election
选手	xuǎnshǒu	athlete; contestant; player
炫耀	xuànyào	to show off; flaunt
削弱	xuēruò	weaken; to cripple
学说	xuéshuō	theory; doctrine
学位	xuéwèi	academic degree; educational level
雪上加霜	xuěshàngjiāshuāng	(literally) add frost to snow; one disaster after another; insult added to injury
血压	xuèyā	blood pressure
熏陶	xūntáo	to influence (positively)
寻觅	xúnmì	to seek; to look for
巡逻	xúnluó	to patrol (police, army or navy)
循环	xúnhuán	circular cycle; loop; circulate
循序渐进	xún xù jiàn jìn	make steady progress incrementally; step by step program
压迫	yāpò	oppress
压岁钱	yāsuìqián	gifts of money given to children during the Spring Festival
压缩	yāsuō	to compress
压抑	yāyì	constrain or repress one's emotions; inhibition; repressive
压榨	yāzhà	to press; to squeeze; to extract juice, oil, etc. by squeezing
压制	yāzhì	suppress; inhibit; stifle
鸦雀无声	yāquèwúshēng	not even a crow or sparrow can be heard (idiom); silence reigns
亚军	yàjūn	second place; runner-up
烟花爆竹	yānhuābàozhú	fireworks and crackers
淹没	yānmò	submerge; drown; to flood
延期	yán qī	delay; extend; postpone
延伸	yánshēn	extend; spread; stretch
延续	yánxù	continue; last longer
严寒	yánhán	bitter cold; severe winter
严禁	yánjìn	strictly prohibit; forbid
严峻	yánjùn	grim; severe; rigorous; harsh
严厉	yánlì	strict; severe
严密	yánmì	strict; closely-knit; tight
言论	yánlùn	expression of (political) opinion; speech
岩石	yánshí	rock; stone
炎热	yánrè	blistering hot; sizzling hot (weather)
沿海	yánhǎi	coastal
掩盖	yǎngài	conceal; cover up; hide behind
掩护	yǎnhù	cover; shield; screen
掩饰	yǎnshì	conceal a fault; gloss over
眼光	yǎnguāng	vision
眼色	yǎnsè	a wink; signal with one's eyes
眼神	yǎnshén	expression or emotion showing in one's eyes
演变	yǎnbiàn	develop; evolve
演习	yǎnxí	rehearse; practice; put on a play
演绎	yǎnyì	deduction; to deduce; to infer
演奏	yǎnzòu	give an instrumental performance
厌恶	yànwù	loathe; to hate; detest
验收	yànshōu	inspect and then accept (i.e. received goods
验证	yànzhèng	inspect and verify
氧气	yǎngqì	oxygen
样品	yàngpǐn	sample; specimen
谣言	yáoyán	rumor
摇摆	yáobǎi	to waver; to wag; to sway
摇滚	yáogǔn	rock and roll
遥控	yáokòng	remote control
遥远	yáoyuǎn	distant; remote
要点	yàodiǎn	main point; essential
要命	yàomìng	cause somebody's death; very; extremely; frighteningly; annoyance
要素	yàosù	essential factor; key constituent
耀眼	yàoyǎn	dazzle; to shine
野蛮	yěmán	barbarous; uncivilized; cruel; wild
野心	yěxīn	ambition; wild schemes or ambitions; careerism
液体	yètǐ	liquid
一度	yídù	for a time; at one time; one time; once
一帆风顺	yìfānfēngshùn	(saying) smooth sailing
一贯	yíguàn	consistent; constant; from start to finish; then as now
一举两得	yìjǔliǎngdé	kill two birds with one stone; (literally) attain two objectives with a single move
